Name,Price,Alcohol,Desc,Discount,Quantity,DQuantity
WOODFORD,8.7,1,alcohol beverage,-0.1,83,64
Entwine,5.7,1,alcohol beverage,-0.0,47,82
Carnivor,3.7,1,alcohol beverage,-0.1,70,62
Meiomi,13.4,1,alcohol beverage,-0.0,82,75
Premium Dark Chocolate,6.4,0, with Mint Cookie Crunch and Rosemary Walnut Raisin,-0.1,86,81
Greek Yogurt,2.3,0, Lemon,-0.1,80,44
Blended Strawberry Lowfat Yogurt,9.8,0,Blended Strawberry Lowfat Yogurt,-0.1,38,44
Soft Cremes,12.7,0, Butterscotch & Caramel,-0.1,86,38
Porridge,13.2,0, Heirloom Rye,-0.1,62,96
Shredded Mozzarella Cheese,7.8,0,Shredded Mozzarella Cheese,-0.0,84,38
Burrito,5.7,0, Bean & Cheese,-0.0,87,50
Red Wine Vinegar,8.0,0,Red Wine Vinegar,-0.0,40,42
Sweet Strawberry Smoothie,13.2,0, Pasta,-0.1,71,56
Kendall-Jackson,9.5,1,alcohol beverage,-0.1,78,72
BOGLE,5.6,1,alcohol beverage,-0.1,41,74
Bartenura,5.4,1,alcohol beverage,-0.1,40,97
Middle,5.0,1,alcohol beverage,-0.0,97,69
Cook's,14.2,1,alcohol beverage,-0.1,43,76
Brown Rice 14 Oz,8.2,0,Brown Rice 14 Oz,-0.0,73,87
Chicken Sausage Burgers,5.6,0, Hot Italian Style,-0.0,73,81
European Baguette,4.1,0,European Baguette,-0.0,45,83
Tortilla Chips,16.2,0, Thick & Hearty Rounds,-0.0,95,68
Simply Made Cookies,3.8,0, Butter,-0.1,80,100
Chicken Breast,7.2,0, White Premium Chunk,-0.0,99,66
Bread,10.0,0, Premium White Enriched,-0.0,64,38
Lolailo,4.3,1,alcohol beverage,-0.1,97,36
Estancia,4.1,1,alcohol beverage,-0.0,53,59
Coppola,14.1,1,alcohol beverage,-0.0,50,37
Promisqous,2.2,1,alcohol beverage,-0.1,86,44
Shredded Cheese,16.0,0, Mozzarella,-0.0,71,36
Hot Dogs,2.7,0, Savory Meatless Franks,-0.1,95,81
Cheese,5.9,0, Italian Three Cheese,-0.0,44,36
Mini Omelets,13.6,0, with Reduced Fat Cheese,-0.1,55,96
Fruit Drink,3.8,0, Mixed Berry,-0.0,69,67
Potato Chips,6.4,0, Mild Cheddar,-0.0,41,60
Trout,10.8,0, Fireman's,-0.1,55,90
Raisin Bran,7.5,0, Golden Smoked Fillets 3.75 Oz,-0.0,57,42
Ripe Pitted Large Olives,14.4,0, Sharp Cheddar,-0.0,97,90
Chicken Kiev,8.4,0, BBQ Chicken,-0.1,58,62
Empanadas,11.7,0,Empanadas,-0.0,84,38
Southwestern Marinade,4.3,0, Beef,-0.1,61,41
Aged White Cheddar Popcorn,4.7,0,Aged White Cheddar Popcorn,-0.0,83,98
Cheddar Cheese Twice Baked Potatoes,5.0,0,Whole Peeled,-0.1,82,58
Frozen Smoothie Kit,7.9,0, Chocolate Peanut Butter,-0.1,54,45
Red Salmon,8.1,0, Fat Free,-0.1,68,64
Bud Light,7.8,1,alcohol beverage,-0.0,56,47
Corona Extra,4.5,1, Wild Alaska Sockeye,-0.0,69,45
Rolling Rock,15.7,1,alcohol beverage,-0.1,68,59
Stella Artois,3.9,1, Pineapple Banana,-0.1,52,88
Riunite,8.4,1, Wranglers Coarse Ground Cheese Smoked,-0.0,51,86
Effen,16.9,1,alcohol beverage,-0.0,76,97
RUMCHATA,3.1,1,alcohol beverage,-0.1,44,41
Pinnacle,11.9,1, Absolutely Zero,-0.0,34,43
Woodbridge,13.0,1, Holiday Homestyle,-0.1,57,72
Belle,13.0,1,alcohol beverage,-0.1,62,80
Shasta,10.2,1, Smooth with Caramel,-0.1,38,71
PongCaddie,10.3,1,alcohol beverage,-0.1,56,66
Budweiser,10.4,1,alcohol beverage,-0.0,93,61
Daily's,8.0,1,alcohol beverage,-0.1,70,69
Oak Leaf,3.0,1,alcohol beverage,-0.1,93,52
Martini & Rossi,16.1,1,alcohol beverage,-0.1,82,64
Sam's Choice,4.3,1,alcohol beverage,-0.0,41,62
Crown Royal,9.5,1,alcohol beverage,-0.1,70,94
Solana,11.7,1,alcohol beverage,-0.1,76,80
Cashews,15.1,0, BBQ Seasoned,-0.0,99,69
Salsa,8.7,0, 2% Reduced Fat,-0.1,94,97
Energy Gel,3.1,0,Energy Gel,-0.0,34,80
Pancakes,3.9,0,Pancakes,-0.0,85,68
Shortbread Tartlet Shells,5.7,0, Apple Lemon Ginger Cayenne Pepper,-0.1,35,77
Medallones Poblanos,12.0,0,Medallones Poblanos,-0.1,60,91
100% Pure Squeezed Orange Juice,7.5,0, Halves & Pieces Roasted,-0.1,86,89
Dressing,2.3,0, Original Gourmet,-0.1,49,44
Steamers Basil Vegetable Medley,16.0,0, Banana Peach,-0.0,40,52
Nonfat Greek Yogurt,15.2,0, Chocolate Chip,-0.1,50,60
Ziti,3.3,0,Ziti,-0.1,86,72
Raw Chocolate Truffle,6.4,0,Raw Chocolate Truffle,-0.1,55,81
Sausage Biscuits,9.1,0,Sausage Biscuits,-0.0,50,90
Turkey Breast,12.9,0, Sesame Ginger Dressing All Natural,-0.0,66,65
Pork Roll,9.3,0,Pork Roll,-0.1,100,79
Italian Rolls,14.9,0, Classic Cherry Fruit on the Bottom,-0.1,89,75
Mint Chocolate Chip Ice Cream,7.8,0,Mint Chocolate Chip Ice Cream,-0.0,48,88
Assorted Gelatin,16.5,0,Assorted Gelatin,-0.1,70,75
Chunk Light Tuna,3.9,0,Chunk Light Tuna,-0.1,85,67
Yogurt,14.7,0, Almond Caramel,-0.0,48,50
USDA Choice Top Sirloin Steak,15.6,0, Oven Roasted Shaved,-0.0,40,88
Ice Cream,2.9,0, Mild,-0.1,50,100
Chicken Wings,8.0,0,Chicken Wings,-0.1,55,51
Meatless Kielbasa,16.3,0,Meatless Kielbasa,-0.0,47,61
Sandwich Rounds,9.5,0,Sandwich Rounds,-0.1,41,58
Helados Mexico,2.5,1,alcohol beverage,-0.1,61,59
Bartles & James,15.9,1,alcohol beverage,-0.0,91,52
Admiral Nelson,15.8,1,alcohol beverage,-0.1,83,75
ROCKDALE,8.7,1,alcohol beverage,-0.0,98,36
Jack Daniel's,8.3,1,alcohol beverage,-0.1,44,36
KNOB CREEK,16.0,1,alcohol beverage,-0.0,86,55
MOGEN DAVID,10.3,1,alcohol beverage,-0.1,73,61
Carlo Rossi,3.6,1,alcohol beverage,-0.0,66,41
HORNITOS,5.1,1,alcohol beverage,-0.1,67,56
Blue Moon,11.0,1,alcohol beverage,-0.0,99,78
Spicy Pickles in Pretzel Coating,7.0,0, Koka Moka,-0.1,76,39
Organic,7.6,0, White Garlic,-0.0,66,80
Beef Jerky,8.8,0,Beef Jerky,-0.1,93,34
Smoothie,11.9,0,Smoothie,-0.0,79,58
Razz-Ade,10.5,0, Yellow Cling Sliced Peaches,-0.0,89,41
Simmer Sauce,7.0,0, Teriyaki,-0.1,55,74
Peanut Butter Powder,7.1,0, Tropical Passion,-0.0,45,44
Double Chocolate Muffin,15.2,0,Double Chocolate Muffin,-0.0,37,38
Trail Mix Premium Cookies,8.6,0, Butter Chicken,-0.1,41,39
Oatmeal Toasters,2.6,0,Oatmeal Toasters,-0.1,49,79
Authentic Red Beans & Rice,16.9,0,Authentic Red Beans & Rice,-0.0,59,72
Enrichie Vanille,13.2,0,Enrichie Vanille,-0.0,70,58
Fruit'n Yogurt Snacks,12.9,0, Cranberry Orange,-0.0,40,36
Assorted Lollies,6.0,0,Assorted Lollies,-0.1,45,78
Michigan Russet Potatoes,7.5,0,Michigan Russet Potatoes,-0.0,61,94
Stuffed Ham and Swiss Chicken Burgers,7.7,0, Blueberry,-0.0,65,54
Bagel Crisps,4.7,0,Bagel Crisps,-0.0,36,46
Fruit Salad,13.6,0, Sweetened Condensed,-0.0,96,94
1% Lowfat Milk,14.2,0,1% Lowfat Milk,-0.1,67,61
Tri-Color Cheese Tortellini,16.0,0,Tri-Color Cheese Tortellini,-0.1,38,43
Blackberry Cobbler,2.8,0, Roasted Garlic,-0.1,100,60
Infused Balsamic Vinegar,7.4,0, Tropical,-0.0,57,90
Shrimp,14.1,0,Shrimp,-0.0,72,35
Trail Mix,11.2,0,Trail Mix,-0.0,96,44
Feta Cheese,16.3,0,Feta Cheese,-0.0,41,52
Mesquite Marinade,12.5,0,Mesquite Marinade,-0.0,60,47
Sour Cream,13.0,0,Sour Cream,-0.0,97,56
California Roots,10.7,1,alcohol beverage,-0.1,57,39
Beck's Na,7.2,1,alcohol beverage,-0.0,49,64
Strongbow,2.4,1,alcohol beverage,-0.0,79,69
CRA-Z-ART,11.1,1, Light,-0.1,98,60
Silver Spring,14.2,1, Garlic Parmesan,-0.1,42,78
Jose Cuervo,6.0,1, Mixed Fruit,-0.0,58,46
Regatta,4.3,1,alcohol beverage,-0.0,76,59
boomchugalug,15.8,1,alcohol beverage,-0.1,98,57
Rose's,5.7,1, Peppercorn Blend,-0.0,51,91
Heineken,5.8,1, Condensed,-0.1,65,34
Roland,12.7,1,alcohol beverage,-0.1,45,59
Schweppes,12.3,1, with Broccoli,-0.1,42,86
Bar-S,4.6,1, Pinto,-0.1,42,39
Mirassou,7.8,1, Elderberry Hibiscus,-0.1,56,92
KooL-Aid,12.5,1, Jelly Bean,-0.0,50,98
Clamato,8.8,1,alcohol beverage,-0.0,38,91
ALAMOS,14.0,1, Light Caramel Glaze,-0.0,48,87
Melitta,4.5,1, Verde,-0.1,49,66
Leinenkugel's,4.0,1,alcohol beverage,-0.0,39,52
Seagram's,9.9,1,alcohol beverage,-0.1,62,50
El Jimador,6.5,1, Apple Cherry & Pear,-0.0,51,63
Dirty Sue,10.9,1, Golden Battered,-0.1,56,84
Vita Foods,3.2,1, Multigrain,-0.0,49,90
VIRGILS,16.9,1, Golden Curry,-0.1,97,93
Moet Chandon,11.1,1,alcohol beverage,-0.0,37,38
Wild,8.5,1,alcohol beverage,-0.0,71,88
Bravino,15.9,1,alcohol beverage,-0.0,49,46
